timestamp_sec,raw_value,normalized_value,ammeter_type
0.044269528007134795,0.09401736521887494,0.09401736521887494,greenlee
0.5522230060014408,0.4196485851866554,0.4196485851866554,greenlee
1.045975899003679,0.09800254614048054,0.09800254614048054,greenlee
1.5475526110094506,0.16136358517793903,0.16136358517793903,greenlee
2.04822533200786,0.4226465407341409,0.4226465407341409,greenlee
2.55052505301137,0.11018487593064245,0.11018487593064245,greenlee
3.047480238004937,0.09318546991894659,0.09318546991894659,greenlee
3.5459829840110615,0.21288506644136188,0.21288506644136188,greenlee
4.048608690005494,1.1557539476011724,1.1557539476011724,greenlee
4.554759546008427,0.07954723671133075,0.07954723671133075,greenlee
